table_name,ordinal_position,column_name,data_type,udt_name,character_maximum_length,is_nullable,column_default,primary_key,unique_constraint,foreign_key,check_constraints
Advance_Order_Items,1,ADVANCE_ITEM_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Advance_Order_Items,2,ADVANCE_ORDER_ID,bigint,int8,null,NO,null,,,FK → Advance_Orders.ADVANCE_ORDER_ID,null
Advance_Order_Items,3,ITEM_ID,bigint,int8,null,NO,null,,,FK → Menu_Items.ITEM_ID,null
Advance_Order_Items,4,ITEM_NAME,text,text,null,NO,null,,,null,null
Advance_Order_Items,5,QUANTITY,integer,int4,null,NO,1,,,null,"CHECK ((""QUANTITY"" > 0))"
Advance_Order_Items,6,UNIT_PRICE,numeric,numeric,null,NO,null,,,null,null
Advance_Order_Items,7,TOTAL_PRICE,numeric,numeric,null,NO,null,,,null,null
Advance_Order_Items,8,NOTES,text,text,null,YES,null,,,null,null
Advance_Order_Items,9,CREATED_AT,timestamp with time zone,timestamptz,null,NO,now(),,,null,null
Advance_Orders,1,ADVANCE_ORDER_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Advance_Orders,2,ORDER_NUMBER,text,text,null,NO,null,,UNIQUE,null,null
Advance_Orders,3,SESSION_TOKEN,text,text,null,NO,null,,UNIQUE,null,null
Advance_Orders,4,CUSTOMER_NAME,text,text,null,NO,null,,,null,null
Advance_Orders,5,DINING_TYPE,text,text,null,NO,'dine-in'::text,,,null,"CHECK ((""DINING_TYPE"" = ANY (ARRAY['dine-in'::text, 'take-away'::text])))"
Advance_Orders,6,STATUS,text,text,null,NO,'PENDING'::text,,,null,"CHECK ((""STATUS"" = ANY (ARRAY['PENDING'::text, 'CONFIRMED'::text, 'PREPARING'::text, 'READY'::text, 'COMPLETED'::text, 'CANCELLED'::text, 'EXPIRED'::text])))"
Advance_Orders,7,SUBTOTAL,numeric,numeric,null,NO,0.00,,,null,null
Advance_Orders,8,TOTAL_AMOUNT,numeric,numeric,null,NO,0.00,,,null,null
Advance_Orders,9,NOTES,text,text,null,YES,null,,,null,null
Advance_Orders,10,CREATED_AT,timestamp with time zone,timestamptz,null,NO,now(),,,null,null
Advance_Orders,11,EXPIRES_AT,timestamp with time zone,timestamptz,null,NO,(now() + '00:30:00'::interval),,,null,null
Advance_Orders,12,CONFIRMED_AT,timestamp with time zone,timestamptz,null,YES,null,,,null,null
Advance_Orders,13,COMPLETED_AT,timestamp with time zone,timestamptz,null,YES,null,,,null,null
Advance_Orders,14,CANCELLED_AT,timestamp with time zone,timestamptz,null,YES,null,,,null,null
Advance_Orders,15,TABLE_ID,bigint,int8,null,YES,null,,,FK → Restaurant_Tables.TABLE_ID,null
Advance_Orders,16,TABLE_NUM,integer,int4,null,YES,null,,,null,null
Bill_Requests,1,REQUEST_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Bill_Requests,2,TABLE_ID,bigint,int8,null,NO,null,,,null,null
Bill_Requests,3,ORDER_ID,bigint,int8,null,YES,null,,,null,null
Bill_Requests,4,PAYMENT_METHOD,text,text,null,NO,null,,,null,"CHECK ((""PAYMENT_METHOD"" = ANY (ARRAY['CASH'::text, 'CREDIT_CARD'::text, 'INSTAPAY_QR'::text])))"
Bill_Requests,5,STATUS,text,text,null,NO,'REQUESTED'::text,,,null,"CHECK ((""STATUS"" = ANY (ARRAY['REQUESTED'::text, 'PROCESSING'::text, 'PAID'::text, 'CANCELLED'::text])))"
Bill_Requests,6,REQUESTED_AT,timestamp without time zone,timestamp,null,YES,now(),,,null,null
Cashier_Staff,1,CASHIER_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Cashier_Staff,2,STAFF_ID,bigint,int8,null,NO,null,,,null,null
Cashier_Staff,3,TOTAL_SHIFT_EARNING,double precision,float8,null,YES,null,,,null,null
Cashier_Staff,4,TOTAL_TABLES_HANDLED,bigint,int8,null,YES,null,,,null,null
Discounts,1,DISCOUNT_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Discounts,2,ORDER_ID,bigint,int8,null,NO,null,,,FK → Restaurant_Orders.ORDER_ID,null
Discounts,3,ORDER_ITEM_ID,bigint,int8,null,YES,null,,,FK → Order_Items.ORDER_ITEM_ID,null
Discounts,4,PWD,boolean,bool,null,YES,false,,,null,null
Discounts,5,PWD_AMOUNT,bigint,int8,null,YES,'0'::bigint,,,null,null
Discounts,6,SENIOR,boolean,bool,null,YES,false,,,null,null
Discounts,7,SENIOR_AMOUNT,bigint,int8,null,YES,'0'::bigint,,,null,null
Discounts,8,CUSTOM_PERCENT,bigint,int8,null,YES,'0'::bigint,,,null,null
Discounts,9,PESO_DISCOUNT,double precision,float8,null,YES,'0'::double precision,,,null,null
Dispatcher_Staff,1,DISPATCHER_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Dispatcher_Staff,2,STAFF_ID,bigint,int8,null,NO,null,,,null,null
Dispatcher_Staff,3,CURRENT_DISPATCHED_MEALS,bigint,int8,null,YES,null,,,null,null
Dispatcher_Staff,4,TOTAL_DISPATCHED_MEALS,bigint,int8,null,YES,null,,,null,null
Item_Groups,1,ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Item_Groups,2,MENU_GROUP_ID,bigint,int8,null,NO,null,,,FK → Menu_Item_Groups.MENU_GROUP_ID,null
Item_Groups,3,ITEM_ID,bigint,int8,null,YES,null,,,FK → Menu_Items.ITEM_ID,null
Menu_Categories,1,CATEGORY_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Menu_Categories,2,CATEGORY_NAME,text,text,null,NO,null,,,null,null
Menu_Categories,3,CATEGORY_ITEM_COUNT,bigint,int8,null,YES,'0'::bigint,,,null,null
Menu_Categories,4,CATEGORY_ICON,text,text,null,YES,null,,,null,null
Menu_Item_Groups,1,MENU_GROUP_ID,bigint,int8,null,NO,null,PRIMARY KEY,,null,null
Menu_Item_Groups,3,GROUP_NAME,text,text,null,YES,null,,,null,null
